,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 switzerland_1956,1956, Switzerland, Lys Assia, Das Alte Karussell,,,,,,, SSR SRG, Georg Benz Stahl, Georg Benz Stahl
 belgium_1956,1956, Belgium, Fud Leclerc, Messieurs Les Noyés De La Seine,,,,,,, NIR," Jean Miret, Jacques Say", Robert Montal
 france_1956,1956, France, Mathé Altéry, Le Temps Perdu,,,,,,, RTF, André Lodge, Rachèle Thoreau
 germany_1956,1956, Germany, Freddy Quinn, So Geht Das Jede Nacht,,,,,,, ARD, Lotar Olias, Peter Moesser
 italy_1956,1956, Italy, Franca Raimondi, Aprite Le Finestre,,,,,,, RAI, Virgilio Panzuti, Pinchi
 luxembourg_1956,1956, Luxembourg, Michèle Arnaud, Ne Crois Pas,,,,,,, CLT, Christian Guitreau, Christian Guitreau
 netherlands_1956,1956, Netherlands, Corry Brokken, Voorgoed Voorbij,,,,,,, NTS, Jelle de Vries, Jelle de Vries
 austria_1957,1957, Austria, Bob Martin," Wohin, Kleines Pony", 10, 3,,,,, ORF, Kurt Svab," Kurt Svab, Hans Werner"
 belgium_1957,1957, Belgium, Bobbejaan Schoepen, Straatdeuntje, 8, 5,,,,, NIR, Harry Frekin, Eric Franssen
 denmark_1957,1957, Denmark, Birthe Wilke and Gustav Winckler, Skibet Skal Sejle I Nat, 3, 10,,,,, DSR, Erik Fiehn, Poul Sørensen
 france_1957,1957, France, Paule Desjardins, La Belle Amour, 2, 17,,,,, RTF, Guy Lafarge, Francis Carco
 germany_1957,1957, Germany, Margot Hielscher," Telefon, Telefon", 4, 8,,,,, ARD, Friedrich Meyer, Ralph Maria Siegel
 italy_1957,1957, Italy, Nunzio Gallo, Corde Della Mia Chitarra, 6, 7,,,,, RAI, Mario Ruccione, Giuseppe Fiorelli
 luxembourg_1957,1957, Luxembourg, Danièle Dupré, Tant De Peine, 4, 8,,,,, CLT, Jean-Pierre Kemmer, Jacques Taber
 netherlands_1957,1957, Netherlands, Corry Brokken, Net Als Toen, 1, 31,,,,, NTS, Guus Jansen, Willy van Hemert
 switzerland_1957,1957, Switzerland, Lys Assia, L'enfant Que J'étais, 8, 5,,,,, SSR SRG, Géo Voumard, Émile Gardaz
 united kingdom_1957,1957, United Kingdom, Patricia Bredin, All, 7, 6,,,,, BBC, Reynell Wreford, Alan Stranks
 austria_1958,1958, Austria, Liane Augustin, Die Ganze Welt Braucht Liebe, 5, 8,,,,, ORF," Günther Leopold, Kurt Werner"," Günther Leopold, Kurt Werner"
 belgium_1958,1958, Belgium, Fud Leclerc, Ma Petite Chatte, 5, 8,,,,, NIR, André Dohet, André Dohet
 denmark_1958,1958, Denmark, Raquel Rastenni, Jeg Rev Et Blad Ud Af Min Dagbog, 8, 3,,,,, DSR," Sven Ulrik, Harry Jensen"," Sven Ulrik, Harry Jensen"
 france_1958,1958, France, André Claveau, Dors Mon Amour, 1, 27,,,,, RTF, Hubert Giraud, Pierre Delanoë
 germany_1958,1958, Germany, Margot Hielscher, Für Zwei Groschen Musik, 7, 5,,,,, ARD, Friedrich Meyer," Fred Rauch, Walter Brandin"
 italy_1958,1958, Italy, Domenico Modugno, Nel Blu Dipinto Di Blu, 3, 13,,,,, RAI, D. Modugno," D. Modugno, Franco Migliacci"
 luxembourg_1958,1958, Luxembourg, Solange Berry, Un Grand Amour, 9, 1,,,,, CLT, Michel Eric," Monique Laniece, Raymond Roche"
 netherlands_1958,1958, Netherlands, Corry Brokken, Heel De Wereld, 9, 1,,,,, NTS, Benny Vreden, Benny Vreden
 sweden_1958,1958, Sweden, Alice Babs, Lilla Stjärna, 4, 10,,,,, SR, Åke Gerhard, Åke Gerhard
 switzerland_1958,1958, Switzerland, Lys Assia, Giorgio, 2, 24,,,,, SSR SRG, Paul Burkhard, Fridolin Tschudi
 austria_1959,1959, Austria, Ferry Graf, Der K. Und K. Kalypso Aus Wien, 9, 4,,,,, ORF, Norbert Pawlicki, Günther Leopold
 belgium_1959,1959, Belgium, Bob Benny, Hou Toch Van Mij, 6, 9,,,,, NIR, Hans Flower, Ke Riema
 denmark_1959,1959, Denmark, Birthe Wilke, Uh-jeg Ville Ønske Jeg Var Dig, 5, 12,,,,, DSR, Otto Lington, Carl Andersen
 france_1959,1959, France, Jean Philippe," Oui, Oui, Oui, Oui", 3, 15,,,,, RTF, Hubert Giraud, Pierre Cour
 germany_1959,1959, Germany, Alice and Ellen Kessler, Heut' Woll'n Wir Tanzen Geh'n, 8, 5,,,,, ARD, Helmut Zander, Astrid Voltmann
 italy_1959,1959, Italy, Domenico Modugno, Piove, 6, 9,,,,, RAI, Domenico Modugno, Dino Verde
 monaco_1959,1959, Monaco, Jacques Pills, Mon Ami Pierrot, 11, 1,,,,, TMC, Florence Veran, Raymond Bravard
 netherlands_1959,1959, Netherlands, Teddy Scholten, Een Beetje, 1, 21,,,,, NTS, Dick Schallies, Willy van Hemert
 sweden_1959,1959, Sweden, Brita Borg, Augustin, 9, 4,,,,, SR, Harry Sandin, Åke Gerhard
 switzerland_1959,1959, Switzerland, Christa Williams, Irgendwoher, 4, 14,,,,, SSR SRG, Lothar Löffler, Lothar Löffler
 united kingdom_1959,1959, United Kingdom, Pearl Carr and Teddy Johnson, Sing Little Birdie, 2, 16,,,,, BBC, Stan Butcher, Syd Cordell
 austria_1960,1960, Austria, Harry Winter, Du Hast Mich So Fasziniert, 7, 6,,,,, ORF, Robert Stolz, Robert Gilbert
 belgium_1960,1960, Belgium, Fud Leclerc, Mon Amour Pour Toi, 6, 9,,,,, NIR, Jack Say, Robert Montal
 denmark_1960,1960, Denmark, Katy Bødtger, Det Var En Yndig Tid, 10, 4,,,,, DR, Vilfred Kjær, Sven Buemann
 france_1960,1960, France, Jacqueline Boyer, Tom Pillibi, 1, 32,,,,, RTF, André Popp, Pierre Cour
 germany_1960,1960, Germany, Wyn Hoop," Bonne Nuit, Ma Chérie!", 4, 11,,,,, ARD, Franz Josef Breuer, Kurt Schwabach
 italy_1960,1960, Italy, Renato Rascel, Romantica, 8, 5,,,,, RAI, Dino Verde, Renato Rascel
 luxembourg_1960,1960, Luxembourg, Camillo Felgen, So Laang We's Du Do Bast, 13, 1,,,,, CLT," Henri Moots, Jean Roderes", Henri Moots
 monaco_1960,1960, Monaco, François Deguelt, Ce Soir-là, 3, 15,,,,, TMC, Hubert Giraud, Pierre Dorsey
