year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
1957,final,at,nl,Austria,Netherlands,6,,
1957,final,at,fr,Austria,France,0,,
1957,final,at,dk,Austria,Denmark,0,,
1957,final,at,lu,Austria,Luxembourg,3,,
1957,final,at,de,Austria,Germany,0,,
1957,final,at,it,Austria,Italy,0,,
1957,final,at,gb,Austria,United Kingdom,1,,
1957,final,at,be,Austria,Belgium,0,,
1957,final,at,ch,Austria,Switzerland,0,,
1957,final,at,at,Austria,Austria,0,,
1957,final,be,nl,Belgium,Netherlands,5,,
1957,final,be,fr,Belgium,France,2,,
1957,final,be,dk,Belgium,Denmark,0,,
1957,final,be,lu,Belgium,Luxembourg,0,,
1957,final,be,de,Belgium,Germany,1,,
1957,final,be,it,Belgium,Italy,1,,
1957,final,be,gb,Belgium,United Kingdom,1,,
1957,final,be,be,Belgium,Belgium,0,,
1957,final,be,ch,Belgium,Switzerland,0,,
1957,final,be,at,Belgium,Austria,0,,
1957,final,dk,nl,Denmark,Netherlands,3,,
1957,final,dk,fr,Denmark,France,2,,
1957,final,dk,dk,Denmark,Denmark,0,,
1957,final,dk,lu,Denmark,Luxembourg,0,,
1957,final,dk,de,Denmark,Germany,0,,
1957,final,dk,it,Denmark,Italy,1,,
1957,final,dk,gb,Denmark,United Kingdom,0,,
1957,final,dk,be,Denmark,Belgium,2,,
1957,final,dk,ch,Denmark,Switzerland,2,,
1957,final,dk,at,Denmark,Austria,0,,
1957,final,fr,nl,France,Netherlands,4,,
1957,final,fr,fr,France,France,0,,
1957,final,fr,dk,France,Denmark,0,,
1957,final,fr,lu,France,Luxembourg,0,,
1957,final,fr,de,France,Germany,6,,
1957,final,fr,it,France,Italy,0,,
1957,final,fr,gb,France,United Kingdom,0,,
1957,final,fr,be,France,Belgium,0,,
1957,final,fr,ch,France,Switzerland,0,,
1957,final,fr,at,France,Austria,0,,
1957,final,de,nl,Germany,Netherlands,1,,
1957,final,de,fr,Germany,France,6,,
1957,final,de,dk,Germany,Denmark,0,,
1957,final,de,lu,Germany,Luxembourg,0,,
1957,final,de,de,Germany,Germany,0,,
1957,final,de,it,Germany,Italy,0,,
1957,final,de,gb,Germany,United Kingdom,0,,
1957,final,de,be,Germany,Belgium,2,,
1957,final,de,ch,Germany,Switzerland,1,,
1957,final,de,at,Germany,Austria,0,,
1957,final,it,nl,Italy,Netherlands,1,,
1957,final,it,fr,Italy,France,0,,
1957,final,it,dk,Italy,Denmark,3,,
1957,final,it,lu,Italy,Luxembourg,4,,
1957,final,it,de,Italy,Germany,1,,
1957,final,it,it,Italy,Italy,0,,
1957,final,it,gb,Italy,United Kingdom,0,,
1957,final,it,be,Italy,Belgium,0,,
1957,final,it,ch,Italy,Switzerland,1,,
1957,final,it,at,Italy,Austria,0,,
1957,final,lu,nl,Luxembourg,Netherlands,3,,
1957,final,lu,fr,Luxembourg,France,4,,
1957,final,lu,dk,Luxembourg,Denmark,0,,
1957,final,lu,lu,Luxembourg,Luxembourg,0,,
1957,final,lu,de,Luxembourg,Germany,0,,
1957,final,lu,it,Luxembourg,Italy,1,,
1957,final,lu,gb,Luxembourg,United Kingdom,1,,
1957,final,lu,be,Luxembourg,Belgium,0,,
1957,final,lu,ch,Luxembourg,Switzerland,1,,
1957,final,lu,at,Luxembourg,Austria,0,,
1957,final,nl,nl,Netherlands,Netherlands,0,,
1957,final,nl,fr,Netherlands,France,1,,
1957,final,nl,dk,Netherlands,Denmark,5,,
1957,final,nl,lu,Netherlands,Luxembourg,0,,
1957,final,nl,de,Netherlands,Germany,0,,
1957,final,nl,it,Netherlands,Italy,2,,
1957,final,nl,gb,Netherlands,United Kingdom,1,,
1957,final,nl,be,Netherlands,Belgium,0,,
1957,final,nl,ch,Netherlands,Switzerland,0,,
1957,final,nl,at,Netherlands,Austria,1,,
1957,final,ch,nl,Switzerland,Netherlands,7,,
1957,final,ch,fr,Switzerland,France,0,,
1957,final,ch,dk,Switzerland,Denmark,0,,
1957,final,ch,lu,Switzerland,Luxembourg,0,,
1957,final,ch,de,Switzerland,Germany,0,,
1957,final,ch,it,Switzerland,Italy,0,,
1957,final,ch,gb,Switzerland,United Kingdom,2,,
1957,final,ch,be,Switzerland,Belgium,1,,
1957,final,ch,ch,Switzerland,Switzerland,0,,
1957,final,ch,at,Switzerland,Austria,0,,
1957,final,gb,nl,United Kingdom,Netherlands,1,,
1957,final,gb,fr,United Kingdom,France,2,,
1957,final,gb,dk,United Kingdom,Denmark,2,,
1957,final,gb,lu,United Kingdom,Luxembourg,1,,
1957,final,gb,de,United Kingdom,Germany,0,,
1957,final,gb,it,United Kingdom,Italy,2,,
1957,final,gb,gb,United Kingdom,United Kingdom,0,,
1957,final,gb,be,United Kingdom,Belgium,0,,
1957,final,gb,ch,United Kingdom,Switzerland,0,,
1957,final,gb,at,United Kingdom,Austria,2,,
1958,final,at,fr,Austria,France,7,,
1958,final,at,ch,Austria,Switzerland,0,,
1958,final,at,it,Austria,Italy,1,,
1958,final,at,se,Austria,Sweden,1,,
1958,final,at,be,Austria,Belgium,0,,
1958,final,at,at,Austria,Austria,0,,
1958,final,at,de,Austria,Germany,1,,
1958,final,at,dk,Austria,Denmark,0,,
1958,final,at,nl,Austria,Netherlands,0,,
1958,final,at,lu,Austria,Luxembourg,0,,
1958,final,be,fr,Belgium,France,1,,
1958,final,be,ch,Belgium,Switzerland,2,,
1958,final,be,it,Belgium,Italy,4,,
1958,final,be,se,Belgium,Sweden,1,,
1958,final,be,be,Belgium,Belgium,0,,
1958,final,be,at,Belgium,Austria,1,,
1958,final,be,de,Belgium,Germany,1,,
1958,final,be,dk,Belgium,Denmark,0,,
1958,final,be,nl,Belgium,Netherlands,0,,
1958,final,be,lu,Belgium,Luxembourg,0,,
1958,final,dk,fr,Denmark,France,9,,
1958,final,dk,ch,Denmark,Switzerland,0,,
1958,final,dk,it,Denmark,Italy,0,,
1958,final,dk,se,Denmark,Sweden,0,,
1958,final,dk,be,Denmark,Belgium,1,,
1958,final,dk,at,Denmark,Austria,0,,
1958,final,dk,de,Denmark,Germany,0,,
1958,final,dk,dk,Denmark,Denmark,0,,
1958,final,dk,nl,Denmark,Netherlands,0,,
1958,final,dk,lu,Denmark,Luxembourg,0,,
1958,final,fr,fr,France,France,0,,
1958,final,fr,ch,France,Switzerland,3,,
1958,final,fr,it,France,Italy,1,,
1958,final,fr,se,France,Sweden,0,,
1958,final,fr,be,France,Belgium,0,,
1958,final,fr,at,France,Austria,3,,
1958,final,fr,de,France,Germany,2,,
1958,final,fr,dk,France,Denmark,1,,
1958,final,fr,nl,France,Netherlands,0,,
1958,final,fr,lu,France,Luxembourg,0,,
1958,final,de,fr,Germany,France,1,,
1958,final,de,ch,Germany,Switzerland,0,,
1958,final,de,it,Germany,Italy,4,,
1958,final,de,se,Germany,Sweden,0,,
1958,final,de,be,Germany,Belgium,5,,
1958,final,de,at,Germany,Austria,0,,
1958,final,de,de,Germany,Germany,0,,
1958,final,de,dk,Germany,Denmark,0,,
1958,final,de,nl,Germany,Netherlands,0,,
1958,final,de,lu,Germany,Luxembourg,0,,
1958,final,it,fr,Italy,France,6,,
1958,final,it,ch,Italy,Switzerland,4,,
1958,final,it,it,Italy,Italy,0,,
1958,final,it,se,Italy,Sweden,0,,
1958,final,it,be,Italy,Belgium,0,,
1958,final,it,at,Italy,Austria,0,,
1958,final,it,de,Italy,Germany,0,,
1958,final,it,dk,Italy,Denmark,0,,
1958,final,it,nl,Italy,Netherlands,0,,
1958,final,it,lu,Italy,Luxembourg,0,,
1958,final,lu,fr,Luxembourg,France,1,,
1958,final,lu,ch,Luxembourg,Switzerland,5,,
1958,final,lu,it,Luxembourg,Italy,0,,
1958,final,lu,se,Luxembourg,Sweden,3,,
1958,final,lu,be,Luxembourg,Belgium,0,,
1958,final,lu,at,Luxembourg,Austria,1,,
1958,final,lu,de,Luxembourg,Germany,0,,
1958,final,lu,dk,Luxembourg,Denmark,0,,
1958,final,lu,nl,Luxembourg,Netherlands,0,,
1958,final,lu,lu,Luxembourg,Luxembourg,0,,
1958,final,nl,fr,Netherlands,France,0,,
1958,final,nl,ch,Netherlands,Switzerland,6,,
1958,final,nl,it,Netherlands,Italy,1,,
1958,final,nl,se,Netherlands,Sweden,2,,
1958,final,nl,be,Netherlands,Belgium,0,,
1958,final,nl,at,Netherlands,Austria,0,,
1958,final,nl,de,Netherlands,Germany,0,,
1958,final,nl,dk,Netherlands,Denmark,1,,
1958,final,nl,nl,Netherlands,Netherlands,0,,
1958,final,nl,lu,Netherlands,Luxembourg,0,,
1958,final,se,fr,Sweden,France,1,,
1958,final,se,ch,Sweden,Switzerland,4,,
1958,final,se,it,Sweden,Italy,1,,
1958,final,se,se,Sweden,Sweden,0,,
1958,final,se,be,Sweden,Belgium,1,,
1958,final,se,at,Sweden,Austria,1,,
1958,final,se,de,Sweden,Germany,1,,
1958,final,se,dk,Sweden,Denmark,1,,
1958,final,se,nl,Sweden,Netherlands,0,,
1958,final,se,lu,Sweden,Luxembourg,0,,
1958,final,ch,fr,Switzerland,France,1,,
1958,final,ch,ch,Switzerland,Switzerland,0,,
1958,final,ch,it,Switzerland,Italy,1,,
1958,final,ch,se,Switzerland,Sweden,3,,
1958,final,ch,be,Switzerland,Belgium,1,,
1958,final,ch,at,Switzerland,Austria,2,,
1958,final,ch,de,Switzerland,Germany,0,,
1958,final,ch,dk,Switzerland,Denmark,0,,
1958,final,ch,nl,Switzerland,Netherlands,1,,
1958,final,ch,lu,Switzerland,Luxembourg,1,,
1959,final,at,nl,Austria,Netherlands,3,,
1959,final,at,gb,Austria,United Kingdom,2,,
1959,final,at,fr,Austria,France,1,,
1959,final,at,ch,Austria,Switzerland,1,,
1959,final,at,dk,Austria,Denmark,2,,
1959,final,at,it,Austria,Italy,0,,
1959,final,at,be,Austria,Belgium,0,,
1959,final,at,de,Austria,Germany,0,,
1959,final,at,se,Austria,Sweden,0,,
1959,final,at,at,Austria,Austria,0,,
1959,final,at,mc,Austria,Monaco,1,,
1959,final,be,nl,Belgium,Netherlands,3,,
1959,final,be,gb,Belgium,United Kingdom,2,,
1959,final,be,fr,Belgium,France,2,,
1959,final,be,ch,Belgium,Switzerland,1,,
1959,final,be,dk,Belgium,Denmark,0,,
1959,final,be,it,Belgium,Italy,1,,
1959,final,be,be,Belgium,Belgium,0,,
1959,final,be,de,Belgium,Germany,1,,
